root,draft_short_gloss,flag,source_snippet
رمن,"The pomegranate; ] a certain fruit, the produce of a certain tree, well known: (T, S, M, K:) n.",,"رُمَّانٌ ذ [The pomegranate; ] a certain fruit, (T,) the produce of a certain tree, (M,) well known: (T, S, M, K:) n. un. with ة : (S, M, Msb, K:) the sweet sort thereof relaxes the state of the bowel"
رهط,,CROSS_REF,1 رَهڤطَ see what next follows.
زرب,"The constructing a , .",,"1 زَرْبٌ ذ [as an inf. n.] signifies The constructing a زَرِيبَة , (K, TA,) i. e. an enclosure of wood, (TA,) for sheep, or goats: (K, TA:) you say, زَرَبْتُ الغَنَمَ , aor. أَزْرُبُهَا , inf. n. زَرْ"
زلف,"1 : : -A2- and see also 8, in three places....",LOW_CONFIDENCE,"1 زَلَفَ ذ : see 2: -A2- and see also 8, in three places."
زمهر,,LOW_CONFIDENCE,Q. 1 زَمْهَرَ see the next paragraph.
زنم,"The cutting a small portion of the ear of a camel or other animal, and leaving it hanging thereto.",,"2 تَزْنِيمٌ ذ [inf. n. of زنّم ] The cutting a small portion of the ear of a camel or other animal, and leaving it hanging thereto. (KL. [See زَنَمَةٌ .]) -b2- [And hence,] The act of marking with a s"
زيل,"And and and : see , in art.",,"1 زَالَهُ ذ is syn. with أَزَالَهُ , q. v. (S, Msb, K.) -b2- زال زَوَالَهُ , or زال ٱللّٰهُ زَوَالَهُ ; and زال زَوَالَهَا : see زَوَالٌ , in art. زول . And زِيلَ زَوِيلُهُ and زَوِيلُهَا and زَوَالُه"
سدي,"He closed, or closed up, an interstice, or intervening space: (M:) and stopped, or stopped up, or repaired, and made firm or strong, a breach, or gap, and the like.",,"1   سَدَّ   ذ   , (S, M, A, Mgh, Msb, K,) aor.   سَدُدَ   , (S, M, Msb, K,) inf. n. سَدٌّ ; (S, M, Mgh, Msb;) and   ; (M;) [but the latter has an intensive signification, or relates to several objects"
سرح,"The cattle, or camels, pastured, or pastured where they pleased, by themselves; (S, * Msb, K, * TA; *) [or in the morning; for] you say, and : (S:) or pastured in the morning until the [or period of bright morning-sunshine ].",,"1 سَرَحَ المَالُ ذ , (TA,) or سَرَحَتِ المَاشِيَةُ , (S, TA,) or الإِبِلُ , (Mgh, Msb,) aor. سَرَحَ , (Msb, TA,) inf. n. سُرُوحٌ (S, A, Msb, K) and سَرْحٌ , (Mgh, Msb, K,) The cattle, or camels, pastu"
سردق,"El-Jawáleekee to be an arabicized word from [the Pers.] or , An awning extended over the interior court of a house: (S, O, Msb, K:) [and the cover of a tent: ] and any tent of cotton: (S, O, K, and mentioned in the Msb as on the authority of J:) or a [ tent of the kind called ] ; (Bd in xviii.",,"سُرَادِقٌ ذ , said by El-Jawáleekee to be an arabicized word from [the Pers.] سَرَادَرْ or سَرَاطَاقْ , (MF,) An awning extended over the interior court of a house: (S, O, Msb, K:) [and the cover of a"
سرر,"Msb, K, c.,) .",LOW_CONFIDENCE,"1 سَرَّهُ ذ , accord. to the TA, has two contr. significations: for it is there stated that “ one says سَرَرْتُهُ meaning كَتَمْتُهُ and سَرَرْتُهُ meaning أَعْلَنْتُهُ : ” and it is added that “ it w"
سرمد,"Continuance, or incessant continuance, ( , Kh, M, L, and , Kh, L,) of time, either of night or of day.",,"سَرْمَدٌ ذ [signifies, or implies,] Continuance, or incessant continuance, ( دَوَام , Kh, M, L, and اِتِّصَال , Kh, L,) of time, (Kh, M, L,) either of night or of day. (Kh, L.) [I have said “ or impli"
سعي,"Msb, K, c.) [and , agreeably with general analogy], He walked, went, or went along, (Er-Rághib, Msb, K, TA,) quickly: (Er-Rághib, Mgh, TA:) this, accord.",,"1   سَعَى   ذ   , aor. يَسْعَى , inf. n. سَعْىٌ (S, Msb, K, &amp;c.) [and مَسْعًى , agreeably with general analogy], He walked, went, or went along, (Er-Rághib, Msb, K, TA,) quickly: (Er-Rághib, Mgh, "
سنبل,The seed-produce put forth its [or ears ]; as also [ .]: the former of the dial.,,"Q. 1 سَنْبَلَ الزَّرْعُ ذ The seed-produce put forth its سُنْبُل [or ears ]; (M, K;) as also أَسْبَلَ [q. v.]: the former of the dial. of Temeem, and the latter of that of El-Hijáz. (TA.) -A2- سَنْبَل"
سنه,,LOW_CONFIDENCE,"1 سَنڤهَ see 5, in two places."
سهم,"Har p. 449;) He, (a man, TA,) or it, (one's face, S, MA, and Har ubi suprà,) was, or became, altered in colour, or he was, or became, lean or lank, in the belly, and altered [ in colour ]; (S, K, and Har ubi suprà;) [or, accord.",,"1 سَهَمْتُهُ ذ , aor. سَهَمَ , inf. n. سَهْمٌ : see 3. -A2- سَهَمَ , (S, MA, K,) aor. سَهَمَ ; (K;) and سَهُمَ , aor. سَهُمَ ; inf. n. سُهُومٌ , (S, MA, K,) of both verbs, (S, TA,) and of the latter س"
سوح,,CROSS_REF,سَاحٌ ذ [originally سَوَحٌ ]: see what follows.
سوع,"The camels were left to themselves, without a pastor; as also with for its .",,"1 سَاعَتِ الإِبِلُ ذ , aor. تَسُوعُ , (S, K,) inf. n. سَوْعٌ , (S,) The camels were left to themselves, (S, K,) without a pastor; (K;) as also ساعت with تَسِيعُ for its aor. and سَيْعٌ for its inf. n."
سوم,"Er-Rághib, TA.) -b2- You say, or or , .",,"1 سَوْمٌ ذ , inf. n. of سَامَ , primarily signifies The going, or going away, engaged, or occupied, in seeking, or in seeking for or after, or in seeking to find and take or to get, a thing: and somet"
سوي,"Accord. to Golius, , .",,"1 سَوِىَ ذ , aor. يَسْوَى : see 3, in two places. -A2- [Accord. to Golius, سَوَى , inf. n. سِوًى , signifies He intended, or proposed to himself: this he says as on the authority of the KL, in which o"
سيب,"It ran; (S, M, A, * Mgh, Msb, K;) said of water: (S, M, A, Msb:) and , likewise said of water, it ran of itself.",,"1 سَابَ ذ , (S, M, A, Mgh, Msb, K,) aor. يَسِيبُ , (S, A,) inf. n. سَيْبٌ , (S, M, A, K,) It ran; (S, M, A, * Mgh, Msb, K;) said of water: (S, M, A, Msb:) and , likewise said of water, it ran of itsel"
شأن,And Do thou what thou dost well.,,"1 شَأَنْتُ شَأْنَهُ ذ i. q. قَصَدْتُ قَصْدَهُ [meaning I pursued his (another's) way, or course, doing as he did ]; (S, L, K: * in the K, شَأَنَ شَأْنَهُ and قَصَدَ قَصْدَهُ ;) and in like manner one "
شتو,"The winter commenced: like as one says, , .",,"1 شَتَا الشِّتَآءُ ذ , aor. يَشْتُو , inf. n. شتو [app. شُتُوٌّ , The winter commenced: like as one says, رَبَعَ الرَّبِيعُ , inf. n. رُبُوعٌ ]. (TA.) -b2- And شَتَا اليَوْمُ , aor. as above, The day"
شجر,"The being, or becoming, intricate, complicated, perplexed, confused, or intricately intermixed; as also .",,"1 شَجْرٌ ذ is an inf. n. of شَجَرَ , and signifies The being, or becoming, intricate, complicated, perplexed, confused, or intricately intermixed; as also . (TA.) You say, شَجَرَ الأَمْرُ بَيْنَهُمْ ,"
شدد,"Hence,] is an expression used in the same sense as (A and K in art.",,"1 شَدَّ ذ , as an intrans. verb, aor. شَدِدَ , inf. n. شِدَّةٌ : see 8; and see also شِدَّةٌ . -b2- [Hence,] لَشَدَّ مَا is an expression used in the same sense as لَعَزَّ مَا (A and K in art. عز ) an"
شرذم,Kur xxvi. 54.,LOW_CONFIDENCE,"شِرْذِمَةٌ ذ A party, or company, ( طَائِفَةٌ ,) of men, or people: (S:) or a small company: (TA:) or a small number of men, or people: (K:) and so شِرْدِمَةٌ , with the unpointed د , on the authority"
شرع,"The beasts entered into the water, and drank of it: (TA:) and , .",,"1 شَرَعَتِ الدَّوَابٌّ فِى المَآءِ ذ , (S, K,) aor. شَرَعَ , (S,) inf. n. شَرْعٌ and شُرُوعٌ , [the latter of which is the more common,] and , (TA, [there said to be syn. with شُرُوعٌ , like as مَيْس"
شرق,"The sun rose; as also : (K:) the sun rose from the east; and in like manner one says of the moon, and of the stars: (M:) or the sun rose so that its light began to fall upon the earth and trees: (T and TA in art.",,"1 شَرَقَتِ الشَّمْسُ ذ , (S, M, Mgh, Msb, K,) aor. شَرُقَ , (S, M, Msb,) inf. n. شُرُوقٌ (S, M, Mgh, Msb, K) and شَرْقٌ , (S, Msb,) The sun rose; (S, M, Mgh, Msb, K;) as also : (K:) the sun rose from "
شطأ,"Also He walked on the , .",,"1 شَطَأَ ذ : see 4. -A2- Also He walked on the شَاطِئ , i. e. bank, or side, of the river. (K, * TA.) -A3- And He cut lengthwise [ into slices, or strips, ] the hump of a camel, and a skin, or hide. ("
شعل,"Hence,] (assumed tropical:) [ The horsemen became spread or dispersed, or spread or dispersed themselves, in the hostile, or predatory, incursion ]; quasi- .",,"1 شَعَلَتِ النَّارُ ذ : see 8. -b2- [Hence,] شَعَلَتِ الخَيْلُ فِى الغَارَةِ (assumed tropical:) [ The horsemen became spread or dispersed, or spread or dispersed themselves, in the hostile, or predat"
شفق,"He was niggardly of it: (TA:) [thus] the saying [of a poet] means [ Like as the household ] are niggardly of the provision: (IDrd, M, O:) because he who is niggardly of a thing is [ .",,"1 شَفِقَ ذ and شَفَقَ : see 4, in five places. -b2- شَفِقَ عَلَيْهِ signifies He was niggardly of it: (TA:) [thus] the saying [of a poet] كَمَا شَفِقَتْ عَلَى الزَّادِ العِيَالُ means [ Like as the ho"
شفو,"The sun was, or became, near to setting: (K in art.",,"1 شَفَتِ الشَّمْسُ ذ , aor. شَفُوَ , [inf. n. app. شَفًا , but said in the TK to be شَفْوٌ ,] The sun was, or became, near to setting: (K in art. شفو :) and شَفَت , (K in art. شفى ,) [aor. شَفِوَ ,] i"
شفي,"It (a garment, or piece of cloth,) was thin, fine, or delicate, so that what was behind it was visible, (S, * IB, Mgh, [for in some copies of the S, and in others, I read , which is the right reading accord.",,"1   شَفَّ   ذ   , aor.   شَفِفَ   , inf. n. شُفُوفٌ (S, Mgh, O, Msb, K) and شَفِيفٌ (S, O, K) and شَفَفٌ , (CK, [but not in my MS. copy of the K nor in the TA,]) It (a garment, or piece of cloth,) was"
شكك,"The thing, or case, or affair, was, or became, dubious, or confused: (Msb:) -b3- and , first pers.",,"1 شَكَّ ذ is intrans. by itself, and trans. by means of the particle فى : -b2- one says شَكَّ الأَمْرُ , aor. يَشُكُّ [contr. to analogy in the case of an intrans. verb of this class], inf. n. شَكٌّ ,"
شكل,"And . -A2- , or , .",,"1 شَكَلَ ذ , as an intrans. verb: see 4, in three places. -b2- And see 5. -A2- شَكَلَ الفَرَسَ بِالشِّكَالِ , (S,) or شَكَلَ الدَّابَّةَ , (Msb, K,) aor. شَكُلَ , inf. n. شَكْلٌ , (Msb,) He bound [ th"
شمز,My soul shrank from it in dislike or hatred.,,"1 شَمَزَتْ نَفْسِى مِنْهُ ذ , aor. شَمُزَ , (TK,) inf. n. شَمْزٌ , (IAar, K,) My soul shrank from it in dislike or hatred. (IAar, K, TK.) [See also 5, and Q. Q. 4.]"
شمل,"As, and is said by Lh to be rare; .",,"1 شَمِلَهُمُ الأَمْرُ ذ , aor. شَمَلَ ; and شَمَلَهُم , aor. شَمُلَ ; (S, Msb, K;) but the latter verb was unknown to As, (S, TA,) and is said by Lh to be rare; (TA;) inf. n. شَمَلٌ , (Msb, K,) which "
شهو,"It [food c.] was good, sweet, pleasant, or the like.",,"1 شَهِيَهُ ذ and شَهَاهُ : see 8. -A2- شَهَا , aor. شَهُوَ ; and شَهِىَ , aor. شَهَوَ ; inf. n. شَهْوَةٌ ; It [food &amp;c.] was good, sweet, pleasant, or the like. (MA. [But this, the only meaning th"
شوظ,"Kur [lv. 35], where Ibn-Ketheer read , Flame without smoke: (S, Jel, K:) or smoke of fire: and heat of fire: (ISh, K:) and heat of the sun: (K, TA:) or a piece of fire in which is no smoke: or flame of fire: or only of fire and something mixed therewith.",,"شُوَاظٌ ذ and شِوَاظٌ , (S, K, &amp;c., [but in one copy of the S, I find only the former, which is the more common,]) occurring in the Kur [lv. 35], where Ibn-Ketheer read شِوَاظٌ , (TA,) Flame (S, B"
صخر,,LOW_CONFIDENCE,"2 تَصْخِيرٌ ذ [inf. n. of صَخَّرَ ] i, q. تَسْخِيرٌ . (K.)"
صرط,A long sword: a dial. var. of [ .]....,LOW_CONFIDENCE,صُرَاطٌ ذ A long sword: a dial. var. of سُرَاطٌ [q. v.]. (K.)
صعق,The sky smote them with what is termed [ .,,"1 صَعَقَتْهُمُ السَّمَآءُ ذ , (S, O, K,) aor. صَعَقَ , (K,) inf. n. صَاعِقَةٌ , (O, K,) The sky smote them with what is termed صَاعِقَة [i. e. a thunderbolt ]. (S, O, K.) [And صَقَعَتْهُم signifies t"
صلد,The being hard and smooth.,,"1 صَلَادَةٌ ذ and صُلُودَةٌ , [inf. ns. of which the verb is صَلُدَ ,] used in relation to a stone [&amp;c.], signify The being hard and smooth. (M.) [And صَلْدٌ has a similar meaning.] You say, صَلَد"
صلو,"Lh, who says that it is of the dial.",,"1 صَلَوْتُهُ ذ , (K,) or صَلَوْتُ الظَّهْرَ , (M,) I struck, or beat, that part, [ of him, or] of the back, which is called صَلًا : (M:) or I hit that part (M, K) with a thing, or with an arrow or som"
صمع,"1 , . , . , The ear was [ small: (see :) or] cleaving [ to the head ], and small: (Msb:) or was small, and not pointed, or tapering, or slender at the extremity, and had a contraction in the middle, a...",LOW_CONFIDENCE,"1 صَمِعَتِ الأُذُنُ ذ , aor. صَمَعَ , inf. n. صَمَعٌ , (Msb, TA,) The ear was [ small: (see أَصْمَعُ :) or] cleaving [ to the head ], and small: (Msb:) or was small, and not pointed, or tapering, or s"
صنو,"The palm-trees had pairs, or triplets, or more, growing together from single roots.",,"4 اصنى النَّخْلُ ذ The palm-trees had pairs, or triplets, or more, growing together from single roots. (IKtt, TA.)"
صوع,"One says, . [ This is wheat ] that is measured [ with the ].",,"1 صُعْتُهُ ذ , (O, K,) [from صَاعَهُ ,] aor. أَصُوعُهُ , (K,) inf. n. صَوْعٌ , (TA,) I measured it with the صَاع [q. v.]. (O, K.) One says, هٰذَا طَعَامٌ يُصَاعُ i. e. [ This is wheat ] that is measur"
صيص,"The palm-tree bore dates which had become such as are termed , ., ; (K, * TA;) as also , .",,"1 صَاصَتِ النَّخْلَةُ ذ , [aor. تَصِيصُ ,] The palm-tree bore dates which had become such as are termed صِيص , i. e., شِيص ; (K, * TA;) as also , (K,) inf. n. تَصْيِيصٌ ; (TA;) and , (K,) inf. n. إِصَ"
ضأن,"Az, TA, and K in art.",,"1 ضَأَنْتُ الضَّأْنَ ذ I set apart the sheep [ from the goats]. (Az, TA, and K in art. معز .) One says, اِضْأَنْ ضَأْنَكَ وَٱمْعَزْ مَعْزَكَ Set apart thy sheep from the goats, and set apart thy goats"
ضبح,"Suh, TA:) or caused a sound to be heard from their mouths, different from neighing, and from the sound termed , in their running: (TA:) [or it signifies also the horses neighed; for it is said that] is also syn.",,"1 ضَبَحَتِ الخَيْلُ ذ , (AO, S, O, K, * [in the K ضَبَحَ ,]) aor. ضَبَحَ , (K,) inf. n. ضَبْحٌ (AO, S, K) and ضُبَاحٌ , (K,) i. q. نَحَمَت , i. e. [ The horses breathed pantingly, or hard, with a soun"
ضهأ,"Msb, TA:) you say, and , ('Eyn, S, * O, * Msb, * TA,) .",,"3 مُضَاهَأَةٌ ذ is syn. with مُضَاهَاةٌ , (K, TA, [the و before المُضاهاةُ in the CK should be erased,]) i. q. مُشَاكَلَةٌ : (S, O, Msb, TA:) you say, ضَاهَأْتُهُ and ضَاهَيْتُهُ , ('Eyn, S, * O, * Ms"
ضوأ,,LOW_CONFIDENCE,"1 ضَوڤاَ see 4, in two places."
طبق,"Freytag, is expl.",,"1 طَبڤقَ [ طَبَقَهُ , aor. طَبِقَ , accord. to Freytag, is expl. in the K as syn. with أَطْبَقَهُ in the first of the senses assigned to this latter below: but I find no authority for this in the K no"
طغي,"Msb, TA, c.;) not mentioned in the K [in art.",,"1   طَغَى   ذ   , aor. يَطْغَى ; (S, M, Msb, TA, &amp;c.;) not mentioned in the K [in art. طغى , but in some copies thereof mentioned in art طغو ]; perhaps dropped by the copyist; (TA;) and طَغَا , ao"
طفأ,"Msb:) or ceased to flame: (K, TA:) [or rather, ceased to flame and its live coals became cool; for] when the flame of the fire has become allayed but its coals still burn, it is said to be ; and when its flame is extinct and its coals have become cool, it is said to be and .",,"1 طَفِئَتِ النَّارُ ذ , aor. طَفَاَ , inf. n. طُفُوْءٌ (S, Msb, K) and طَفَأٌ ; (TA;) and ; (S, K;) The fire became extinguished, or quenched: (Msb:) or ceased to flame: (K, TA:) [or rather, ceased to"
طلح,The camels had a complaint of their bellies from eating of the trees called .,,"1 طَلِحَتِ الإِبِلُ ذ , (S, A,) [aor. طَلَحَ ,] inf. n. طَلَحٌ , (TA,) The camels had a complaint (S, A) of their bellies (S) from eating of the trees called طَلْح . (S, A. [But see إِبِلٌ .]) -b2- An"
طلع,"The sun rose, or appeared; and in like manner is said of the moon, and of a star, or an asterism; and so ; [and , for] means [ .",,"1 طَلَعَتِ الشَّمْسُ ذ , (S, O, Msb, K,) aor. طَلُعَ [notwithstanding the faucial letter], (Msb, JM, TA,) inf. n. طُلُوعٌ and مَطْلَعٌ and مَطْلِعٌ , (S, O, Msb, K,) the second and third both used as "
طلق,"The she-camel was, or became, loosed from her bond, or cord, by which her fore shank and her arm had been bound together.",,"1 طَلَقَتِ النَّاقَةُ ذ , (S, Mgh, Msb,) aor. طَلُقَ , inf. n. طُلُوقٌ , (Msb,) The she-camel was, or became, loosed from her bond, (S, Mgh, Msb,) or cord, by which her fore shank and her arm had been"
طمأن,,EMPTY,
طوق,,LOW_CONFIDENCE,"1 طَاقَهُ ذ , inf. n. طَوْقٌ : see 4."
ظفر,"See also . -b2- ] , .",,"1 ظَفَرَهُ ذ : see 2. -A2- [See also ظَفَرٌ . -b2- ] ظَفِرَتْ عَيْنُهُ , (T, S, O, K,) aor. ظَفَرَ , inf. n. ظَفَرٌ (S, O) and ظَفَارَةٌ ; (O;) and, as some say, ظُفِرَت ; (T;) His eye had what is ter"
ظلل,"El-Hijáz; . ; (S, * M, O, * Msb, K;) imperative and [and it is implied in the M voce that one says also and , which indicates that the .",,"1 ظَلَّ ذ , aor. يَظِلُّ , inf. n. ظِلَالَةٌ : see 4. -A2- ظَلَّ , (T, M, Msb, K,) first pers. ظَلِلْتُ , (T, S, M, O, Msb, K,) [and accord. to SM ظَلَلْتُ also, for he says that] the verb is of the c"
عبقر,,CROSS_REF,"عَبْقَرٌ ذ : see the following paragraph, in two places."
عجز,The primary signification of [an .,,"1 عَجڤزَ The primary signification of عَجْزٌ [an inf. n. of عَجَزَ ] is The being, or becoming, behind, or behindhand, or backward, with respect to a thing; or holding back, hanging back, or abstainin"
عجف,"Msb, K; *) and ; He, .",,"1 عَجِفَ ذ , (Fr, S, O, Msb, K,) aor. عَجَفَ , inf. n. عَجَفٌ ; (S, * O, * Msb, K; *) and عَجُفَ ; (Fr, S, O, Msb, K;) He, i. e. [a beast, or] a horse, (Msb,) or they, i. e. cattle, ( مَال , Fr, S, O,"
عرب,"His tongue [or speech ] was, or became, Arabic, or chaste Arabic.",,"1 عَرُبَ لِسَانُهُ ذ , [aor. عَرُبَ ,] inf. n. عُرُوبَةٌ , His tongue [or speech ] was, or became, Arabic, (S, O,) or chaste Arabic. (Msb.) -b2- See also 4, first sentence, in three places. -A2- عَرِب"
عرر,"Ktt, K, * TA,) and so the first, and ↓ the second, (K, *) said of young, or unweaned, camels, they had purulent pustules in their necks: (IKtt, K, * TA:) and all the three verbs, said of camels, signify they had a disease which caused their fur to fall off, so that the skin appeared and shone.",,"1 عَرَّتِ الإِبِلُ ذ , aor. عَرِرَ (S, O, K) and عَرُرَ , (K,) inf. n. عَرٌّ ; (S;) The camels were, or became, mangy, or scabby, or affected with the mange or scab; (S, O, K; *) as also ; (O, K; *) a"
عسي,"Zeyd is near to going forth, though generally otherwise expl., as will be shown in what follows], and [ Such a woman is near to going forth ]; being the agent of , and being its objective complement and meaning : and one says also, [as meaning, accord.",,"1 عَسَى ذ is [said by some to be] one of the verbs of appropinquation, implying eager desire, or hope, and fear, and not perfectly inflected, for it is applied in the form of the preterite to that whi"
عصف,"The wind blew violently, or vehemently; as also ; the latter of the dial.",,"1 عَصَفَتِ الرِّيحُ ذ , aor. عَصِفَ , (S, O, Msb, K,) inf. n. عَصْفٌ and عُصُوفٌ , (O, Msb, K,) The wind blew violently, or vehemently; as also ; (S, O, Msb, K;) the latter of the dial. of BenooAsad. "
عضض,"Msb:) or with my tongue; as, for instance, a serpent does; but not a scorpion; for this latter stings: (TA:) accord.",,"1 عَضِضْتُهُ ذ , and عَضِضْتُ عَلَيْهِ , (S, O, Msb, K,) and بِهِ (S, O, Msb,) third pers. عَضَّ , (S,) aor. عَضَضَ , (S, Msb, K,) i. e. يَعَضُّ , (ISk, S, O,) imp. عَضّ [i. e. عَضَّ and عَضِّ ] and ا"
عضو,Arabs signifies [also] [ .,,"1 عَضَا ذ , aor. يَعْضُو , inf. n. عَضْوٌ : see 2, in three places. -b2- العَضْوُ in the language of the Arabs signifies [also] السِّحْرُ [i. e. عَضْوٌ is the inf. n. of عَضَا signifying He enchanted;"
عطو,"Hence] one says [ High, so that the hands will not reach it ].",,"1 عَطَا ذ , [aor. يَعْطُو ,] inf. n. عَطْوٌ : see 6, first quarter, in five places. -b2- [Hence] one says طَوِيلٌ لَا تَعْطُوهُ الأَيَادِى [ High, so that the hands will not reach it ]. (TA.) -b3- And"
عقل,"The .] signifies The act of withholding, or restraining; syn.",,"1 عَقڤلَ [The inf. n.] عَقْلٌ signifies The act of withholding, or restraining; syn. مَنْعٌ . (TA.) [This is app. the primary signification, or it may be from what next follows.] -b2- عَقَلَ البَعِيرَ"
عقم,His joints of the arms and legs became dry.,,"1 عُقِمَتْ مَفَاصِلُهُ ذ His joints (S, K) of the arms and legs (S) became dry. (S, K.) [See عُقْمٌ , below.] Hence, (TA,) it is said in a trad. (S, TA) of Ibn-Mes'ood, relating to the resurrection, ("
علن,"Sk, S, Msb, K, TA, [app., accord.",,"1 عَلَنَ الأَمْرُ ذ , aor. عَلُنَ (S, Msb, K) and عَلِنَ ; (K;) and عَلُنَ , aor. عَلُنَ ; (K;) and عَلِنَ , aor. عَلَنَ ; (ISk, S, Msb, K;) inf. n. عُلُونٌ , which is of the first; (S, Msb;) and عَلَ"
عنكب,,CROSS_REF,"عَنْكَبٌ ذ : see عَنْكَبُوتٌ , in two places."
عين,"The hitting, or hurting, [another] in the eye.",,"1 عَيْنٌ ذ [app. as inf. n. of عَانَ , agreeably with analogy, (like as أَذْنٌ is of أَذَنَ , and أَنْفٌ of أَنَفَ , &amp;c.,) aor. يَعِينٌ ,] signifies The hitting, or hurting, [another] in the eye. "
عيي,,EMPTY,
غثو,"The valley, or water-course, was, or became, full of [ .]: (Msb: [and the like is indicated in the K:]) or had in a abundance of camels' or similar dung ( ) and leaves and reeds or canes.",,"1 غَثَا الوَادِى ذ , (Msb, K,) aor. يَغْثُو , (Msb,) inf. n. غَثْوٌ ; (Msb, K;) and غَثَى , aor. يَغْثِى , inf. n. غَثْيٌ ; (K;) the latter mentioned by IJ, but the former is that which is [commonly] "
غدق,"The spring, or source, abounded with water; as also , .",,"1 غَدِقَتِ العَيْنُ ذ , (S, O, Msb, K,) aor. غَدَقَ , inf. n. غَدَقٌ , (Msb,) The spring, or source, abounded with water; (S, O, Msb, K;) as also , inf. n. إِغْدَاقٌ . (Msb.) And غَدِقَ المَطَرُ , inf"
غصص,"His throat, or fauces, became choked, or obstructed, by food: (S, Msb, MF:) [as also, app., :] accord.",,"1 غَصَّ ذ , (Msb, MF,) sec. pers. غَصِصْتَ , (S, Msb, K,) and غَصَصْتَ , (Msb, K,) the latter extr., (TA, [see 1 in art. عض ,]) aor. يَغَصُّ , (S, Msb, K,) when the sec. pers. of the pret. is غَصِصْتَ"
غلق,"Also, . , He went away.",,"1 غَلَقَ ذ as syn. with أَغْلَقَ : see the latter. -A2- Also, inf. n. غَلْقٌ , He went away. (TA.) -b2- And غَلَقَ فِى الأَرْضِ , aor. غَلِقَ , inf. n. غَلْقٌ , He went far into the land; (Ibn-'Abbád,"
غلي,"The cooking-pot boiled; (MA, c.;) and , .",,"1 غَلَتِ القِدْرُ ذ , aor. تَغْلِى , inf. n. غَلْىٌ and غَلَيَانٌ , (S, MA, Msb, K,) The cooking-pot boiled; (MA, &amp;c.;) and غَلِيَت , aor. تَغْلَى , is an unusual dial. var. thereof, the former be"
غوث,,LOW_CONFIDENCE,1 غَاثَ ذ : see 4. -A2- [And see also غَوِيثٌ .]
غوي,"Obeyd, S, Msb, K, TA) and ; (A 'Obeyd, S, TA;) [respecting which latter see what follows;] and (A 'Obeyd, K, TA, but not in the CK,) but this is not commonly known, .",,"1   غَوَى   ذ   , aor. يَغْوِى , inf. n. غَىٌّ (A 'Obeyd, S, Msb, K, TA) and غَوَايَةٌ ; (A 'Obeyd, S, TA;) [respecting which latter see what follows;] and غَوِىَ (A 'Obeyd, K, TA, but not in the CK,)"
فأي,"Names of the letter , .",,"فَا   ذ   and فآءٌ   Names of the letter   ف , q. v. -A2- فَا as a prefixed n. in the accus. case, syn. with   فَم , see voce فُوهٌ , in art. فوه .  R. Q. 1   فَأْفَأَ   ذ   , (T, M, Msb,) inf. n. فَ"
فتي,"He crumbled a thing, or broke it into small pieces, with his fingers: (Lth, T, TA:) or he broke (a thing, M) with his fingers: (M, K:) or [simply] he broke a thing: (S, O:) or he bruised, or brayed, a thing: (M:) and , .",,"1   فَتَّ   ذ   , (S, M, O, Msb,) aor.   فَتُتَ   , (M, Msb,) inf. n. فَتٌّ , (Lth, T, M, Msb, K,) He crumbled a thing, or broke it into small pieces, with his fingers: (Lth, T, TA:) or he broke (a th"
فرث,"He scattered, or dispersed, [ the contents of ] the [or receptacle made of palm-leaves, for dates ]: (T, * K:) or ripped the , and then scattered, or dispersed, its contents, entirely, [ for the people, or party ].",,"1 فَرَثْتُ الكَرِشَ ذ : see 4. -b2- فَرَثَ الجُلَّةَ , (ISk, T, S, M, O, K,) aor. فَرُثَ , (T, O,) or فَرِثَ , (M,) or both, (ISk, S, K,) inf. n. فَرْثٌ , (T, M,) He scattered, or dispersed, [ the con"
فلك,"1 see the next paragraph, in two places....",LOW_CONFIDENCE,"1 فَلڤكَ see the next paragraph, in two places."
فلن,"Msb, * K, TA,) .",,"فُلَانٌ ذ is a substitute for the proper name of a human being, (S, Msb, * K, TA,) i. e. of a male; (S, TA;) and in like manner , (Msb, K, TA,) for that of a female; (TA,) each without ال ; (Msb:) [th"
فوم,"And] Make ye bread for us: (T, S:) a phrase said by Fr to have been heard from the Arabs as meaning thus.",,"2 فَوَّمْتُ الخُبْزَ ذ I made bread, or the bread. (IJ, M.) [And] فَوِّمُوا لَنَا Make ye bread for us: (T, S:) a phrase said by Fr to have been heard from the Arabs as meaning thus. (T.)"
فيل,"His judgment, or opinion, was weak, and erroneous; as also ; and [in like manner] [not ] he was incorrect in his judgment, or opinion; and occurs in a trad.",,"1 فَالَ رَأْيُهُ ذ , aor. يَفِيلُ , (S, M, O, K,) inf. n. فُيُولَةٌ , (S,) thus in some copies of the K and in the A, (TA,) or فَيْلُولَةٌ , (M, O,) thus in other copies of the K, (TA,) and فَيَالَةٌ "
قبل,"He took, received, or admitted, willingly, or with approbation; he accepted.",,"1 قَبَلَ ذ as syn. with , q. v.: see أَدْبَرَ , in two places. -b2- قَبَحَ اللّٰهُ مَا قَبَلَ مِنْهُ وَمَا دَبَرَ : see دَبَر . -b3- قَبِلَ He took, received, or admitted, willingly, or with approbati"
